"Температура, K","Плотность сплава, кг/м³","Покрытие фаз, мол.%",Качество
373.15,8471.572142927705,100,с оценкой по правилу смеси для 43.55 % мольной доли фаз
473.15,8431.110085095524,100,с оценкой по правилу смеси для 36.94 % мольной доли фаз
573.15,8388.403871478262,100,с оценкой по правилу смеси для 26.72 % мольной доли фаз
673.15,8343.319216310081,100,с оценкой по правилу смеси для 7.41 % мольной доли фаз
773.15,8295.71631651388,100,полная по доступным прямым DP-моделям
873.15,8245.449208973947,100,полная по доступным прямым DP-моделям
973.15,8192.36345593565,100,полная по доступным прямым DP-моделям
1073.15,8136.294020956843,100,полная по доступным прямым DP-моделям
1173.15,8077.062967035961,100,полная по доступным прямым DP-моделям
1273.15,8014.476442765654,100,полная по доступным прямым DP-моделям
1373.15,7948.321150984501,100,полная по доступным прямым DP-моделям
